個股代號／公司名字,時富雷達 (CR),基本分析比重,技術分析比重,基本分析分數,技術分析分數,相對強弱指數 RSI（9天）,波幅指數 Volatility（10天）,平均線 SMA（10天）,銷售額增長标准分数,債務股本比例标准分数,淨收入改善标准分数,資本回報标准分数,保留盈餘增長标准分数,TA4,TA5,移動平均線标准分数,相對強弱指數标准分数,布林线指标标准分数
688 HK/ 中國海外發展,6.74,60.5%,39.5%,3.49,8.88,40.6286,31.217,,-3.207429399,2.681458837,-1.748987278,-3.614403723,-1.653108792,,,,9.6857,8.066100938
700 HK/ 騰訊控股,6.72,50.9%,49.1%,3.33,7.97,42.4633,35.323,,-3.185577565,0.1420940099,-1.920880756,-1.286671709,-2.085625663,,,,8.76835,7.170947943
762 HK/ 中國聯通,8.19,40.0%,60.0%,5.58,7.05,45.3276,76.169,,0.5849936,-1.364886463,2.352450994,1.879624642,-0.554914116,,,,7.3362,6.77148847
823 HK/ 領展房產基金,#DIV/0!,75.0%,25.0%,#DIV/0!,9.12,31.6199,23.529,,0.6340109358,1.736564453,1.024734169,0.294124517,#DIV/0!,,,,10,8.233734088
857 HK/ 中國石油股份,2.13,40.0%,60.0%,5.54,2.59,55.5864,45.176,,0.4974803393,-1.086857239,1.286917738,1.750217477,0.2331603706,,,,2.2068,2.965517241
868 HK/ 信義玻璃,9.08,40.0%,60.0%,4.88,9.16,38.6766,57.437,,-1.336170519,0.3629153392,-0.8755837162,0.3986574132,0.8612476153,,,,10,8.314113125
881 HK/ 中升控股,8.51,55.3%,44.7%,4.36,9.70,17.2492,33.426,,-0.5842462172,-2.055259591,0.1518366812,1.290295165,-1.995736354,,,,10,9.391409817
883 HK/ 中國海洋石油,3.33,40.0%,60.0%,5.63,3.60,52.6551,64.813,,1.765331848,-3.901771377,2.38383923,3.651040404,-0.7491391896,,,,3.67245,3.531034483
939 HK/ 建設銀行,2.57,72.1%,27.9%,5.07,1.38,57.4736,26.259,,0.1656118404,2.132901299,-0.2452404411,-1.258722288,-0.4373024154,,,,1.2632,1.501831502
941 HK/ 中國移動,0.77,40.0%,60.0%,4.92,0.56,65.2006,44.44,,1.408586636,-1.78763824,-0.3586866421,0.1097623547,0.2324984973,,,,0,1.12018096
960 HK/ 龍湖集團,9.02,40.0%,60.0%,4.04,9.56,32.6383,48.545,,-0.9055160919,1.076065139,-1.590631748,-1.676234409,-1.724840791,,,,10,9.126695336
9618 HK/ 京東集團,#DIV/0!,40.0%,60.0%,#DIV/0!,9.28,28.2727,75.581,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,10,8.557942502
9633 HK/ 農夫山泉,5.26,75.0%,25.0%,5.43,4.03,51.1924,20.474,,0.4790787704,0.3127804146,1.864838981,0.1166605381,-0.6478968045,,,,4.4038,3.664560597
968 HK/ 信義光能,7.73,53.5%,46.5%,4.38,8.15,41.9038,34.235,,0.4337035841,-1.088463326,-1.343202133,-0.9772021614,-0.1254717356,,,,9.0481,7.25850966
981 HK/ 中芯國際,0.73,40.0%,60.0%,5.57,0.00,65.023,51.099,,1.572454142,-1.200807924,0.8965638595,2.006804226,-0.4495513526,,,,0,0
9888 HK/ 百度股份有限公司,#DIV/0!,40.0%,60.0%,#DIV/0!,7.56,44.3975,61.75,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,7.80125,7.328187251
992 HK/ 聯想集團,3.32,62.1%,37.9%,4.99,3.45,54.0884,30.537,,-1.904872188,-1.308094181,1.967231182,1.490435965,-0.2709411668,,,,2.9558,3.948019802
9988 HK/ 阿里巴巴集團控股有限公司,#DIV/0!,40.0%,60.0%,#DIV/0!,9.02,34.6731,42.865,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,10,8.041573263
9999 HK/ 網易,#DIV/0!,40.0%,60.0%,#DIV/0!,3.46,54.075,43.157,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,2.9625,3.950190419
,,,,,,43.1521,37.675,,,,,,,,,,,
